Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[cells/L],Euk_Auto_0-2.5_[cells/L],Euk_Auto_2.5-5_[cells/L],Euk_Auto_5-10_[cells/L],Euk_Auto_10-15_[cells/L],Euk_Auto_15-20_[cells/L],Euk_Het_0-2.5_[cells/L],Euk_Het_2.5-5_[cells/L],Euk_Het_5-10_[cells/L],Euk_Het_10-15_[cells/L],Euk_Het_15-20_[cells/L],Quality_flag
SKQ202010S,GAK1,B,2020-07-03T01:03:48,-149.4653,59.843,270,3,10.37,18,1.11E+08,6.93E+06,8.66E+06,4.91E+06,2.35E+04,7.82E+03,0.00E+00,8.66E+05,0.00E+00,2.79E+04,1.23E+04,1
SKQ202010S,GAK3,B,2020-07-04T16:27:19,-149.1877,59.5525,214,6,10.1,14,4.12E+07,5.67E+05,3.00E+06,1.62E+06,2.61E+04,8.69E+03,2.43E+05,9.72E+05,4.86E+05,3.85E+04,3.85E+04,1
SKQ202010S,GAK5,B,2020-07-04T23:26:35,-148.9085,59.2617,167,8,10.73,18,9.43E+07,1.31E+06,1.55E+06,2.14E+06,1.65E+05,5.12E+04,0.00E+00,4.76E+05,5.95E+05,4.55E+04,8.54E+04,1
SKQ202010S,GAK7,B,2020-07-05T20:51:18,-148.6305,58.9722,239,12,10.3,14,1.53E+08,4.85E+06,1.75E+06,3.18E+06,4.06E+04,1.58E+04,7.95E+04,6.36E+05,1.59E+05,4.74E+04,6.55E+04,1
SKQ202010S,GAK9,B,2020-07-06T20:00:24,-148.3495,58.6805,276,18,10.33,19,1.00E+08,0.00E+00,3.48E+06,5.67E+06,4.60E+04,3.00E+04,0.00E+00,1.46E+06,9.15E+05,3.20E+04,1.60E+05,1
SKQ202010S,GAK11,B,2020-07-07T03:17:56,-148.0725,58.3882,1412,20,9.84,22,3.93E+06,5.65E+06,2.83E+06,5.65E+05,1.24E+04,1.39E+04,0.00E+00,2.26E+05,2.26E+05,5.66E+03,3.04E+04,1
SKQ202010S,GAK15,B,2020-07-07T20:46:29,-147.5037,57.7917,4437,23,10.17,22,1.54E+07,1.34E+06,1.30E+06,7.32E+05,1.15E+04,1.35E+04,8.13E+04,8.13E+04,1.22E+05,6.50E+03,3.30E+04,1
SKQ202010S,GAK13,B,2020-07-08T03:39:59,-147.794,58.0977,2065,25,10.18,20,1.08E+07,6.65E+05,2.91E+06,6.65E+05,3.54E+04,2.00E+04,1.02E+05,4.60E+05,3.58E+05,1.38E+04,4.31E+04,1
SKQ202010S,MID10,B,2020-07-08T20:53:01,-146.0005,58.9102,4445,27,10.23,17,1.90E+08,2.48E+06,1.20E+06,1.46E+06,4.13E+04,1.91E+04,6.00E+05,8.57E+04,2.57E+05,2.38E+04,6.19E+04,1
SKQ202010S,MID9,B,2020-07-09T00:52:45,-146.1007,59.068,2936,29,10.42,17,4.68E+08,1.58E+06,1.05E+06,1.18E+06,2.98E+04,2.05E+04,0.00E+00,3.95E+05,1.97E+05,1.68E+04,8.02E+04,1
SKQ202010S,MID5,B,2020-07-09T21:16:26,-146.0978,59.6503,94,37,4.48,12,1.20E+08,1.42E+06,2.39E+06,1.77E+06,3.94E+04,5.84E+03,3.54E+05,7.96E+05,8.85E+04,2.77E+04,5.11E+04,1
SKQ202010S,MID5,B,2020-07-09T21:14:26,-146.0978,59.6503,94,37,10.1,8,1.10E+08,6.80E+05,3.40E+06,4.08E+06,9.97E+04,2.66E+04,4.54E+05,6.80E+05,1.13E+06,7.65E+04,9.97E+04,1
SKQ202010S,MID2,B,2020-07-10T19:11:08,-145.6497,60.0997,118,45,10.14,12,6.70E+07,2.70E+06,2.83E+06,1.35E+06,2.89E+04,3.02E+03,1.35E+05,2.02E+05,1.35E+05,1.39E+04,1.75E+04,1
SKQ202010S,PL20,B,2020-07-11T23:47:07,-144.6452,60.0808,130,47,4.13,13,9.30E+07,3.21E+06,2.85E+06,1.60E+06,1.64E+04,8.78E+03,8.01E+05,4.45E+05,1.78E+05,1.87E+04,2.46E+04,1
SKQ202010S,PL20,B,2020-07-11T23:44:16,-144.6452,60.0808,130,47,10.59,8,1.86E+08,7.53E+06,5.14E+06,2.87E+06,2.57E+04,2.06E+03,0.00E+00,5.97E+05,2.39E+05,1.65E+04,2.06E+04,1
SKQ202010S,PL21,B,2020-07-12T20:10:52,-145.3227,60.1427,71,49,3.01,9,2.72E+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SKQ202010S,PL21,B,2020-07-12T20:10:44,-145.3227,60.1427,71,49,3.09,8,2.17E+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SKQ202010S,PL21,B,2020-07-12T20:07:34,-145.3227,60.1427,71,49,10.19,6,1.27E+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SKQ202010S,PL22,B,2020-07-13T18:05:58,-146.3798,60.0472,62,51,9.91,8,5.24E+07,4.47E+06,5.96E+06,1.02E+06,1.04E+04,2.40E+03,0.00E+00,4.74E+05,3.39E+05,2.88E+04,3.60E+04,1
SKQ202010S,PWS2,B,2020-07-14T19:46:57,-147.8023,60.5355,729,53,10.14,21,2.24E+07,1.51E+06,2.93E+06,1.87E+06,3.31E+04,1.89E+04,0.00E+00,2.67E+05,0.00E+00,3.54E+04,4.49E+04,1
