Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[ug_C/L],Euk_Auto_0-2.5_[ug_C/L],Euk_Auto_2.5-5_[ug_C/L],Euk_Auto_5-10_[ug_C/L],Euk_Auto_10-15_[ug_C/L],Euk_Auto_15-20_[ug_C/L],Euk_Het_0-2.5_[ug_C/L],Euk_Het_2.5-5_[ug_C/L],Euk_Het_5-10_[ug_C/L],Euk_Het_10-15_[ug_C/L],Euk_Het_15-20_[ug_C/L],Quality_flag
WSD201807,CS2,B,2018-07-05T23:50:46,-143.8927,59.7735,121,5,9.69,10,24,5.12,42.21,34.6,12.2,6.61,0.07,1.55,6.56,10.04,16.58,1
WSD201807,CS4,B,2018-07-06T05:34:25,-143.8953,59.4377,2010,9,9.84,14,9.44,1.42,7.83,20.21,2.57,7.18,0,1.59,4.12,0.64,20.63,1
WSD201807,MID2,B,2018-07-06T21:20:50,-145.6512,60.0998,120,14,9.94,12,27.38,8.17,34.18,245.69,13.42,0.76,0,1.2,7.22,0.32,0.76,1
WSD201807,MID5,B,2018-07-07T18:57:54,-146.1015,59.6475,95,24,10.44,10,16.86,0.86,24.17,46.54,14.86,14.83,0,1.82,40.11,1.78,34.12,1
WSD201807,PWS2,B,2018-07-09T20:12:17,-147.8035,60.5312,798,38,9.91,13,3.82,4.39,12.01,51.58,9.53,16.45,0,0.61,7.65,13.79,23.57,1
WSD201807,GAK1,B,2018-07-10T17:10:28,-149.4645,59.8448,269,43,9.46,13,13.64,4.15,48.89,70.36,1.8,1.22,0,9.7,26.79,0.64,4.38,1
WSD201807,GAK5,B,2018-07-11T20:11:15,-148.9113,59.2595,167,52,9.75,11,16.44,0.1,16.55,53.74,10.88,10.09,0,12.35,19.21,6.21,21.36,1
WSD201807,GAK9,B,2018-07-12T18:41:02,-148.3528,58.6822,280,57,10.17,13,41.7,6.5,11.4,25.25,19.5,5.54,0.07,1.56,5.44,4.64,48.49,1
WSD201807,GAK15,B,2018-07-13T22:08:59,-147.4967,57.7843,4543,64,10.31,13,11.25,0.82,4.11,9.17,2.94,2.67,0.04,1.13,1.39,0.95,11.38,1
WSD201807,KOD5,B,2018-07-14T18:33:07,-150.7615,57.7862,86,66,10.16,9,0.49,0.29,0.47,4.34,0.68,0.82,0.1,1.8,2.25,0.34,1.56,1
WSD201807,KOD10,B,2018-07-16T18:57:11,-149.7237,57.2017,2503,76,9.9,14,1.83,2,8.37,13.55,1.85,1.52,0.13,1.5,5.45,0.87,5.58,1
