Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20,Oligotrich_Ciliate_20-39,Oligotrich_Ciliate_40-59,Oligotrich_Ciliate_>60,Laboea,Tintinnids,Dinoflagellate_<20,Dinoflagellate_20-39,Dinoflagellate_40-59,Dinoflagellate_>60,Silicoflagellate,Total_Ciliates ,Total_Dinoflagellates,Quality_flag
TGX201904,MID1,B,2019-04-28T15:38:53,-145.5018,60.2495,17,3,10,4,342,447,105,0,0,0,3368,711,26,0,53,895,4105,1
TGX201904,MID2,B,2019-04-28T19:29:29,-145.6645,60.1053,119,6,9.96,10,1564,541,30,0,0,0,2767,962,90,30,30,2135,3850,1
TGX201904,MID3,B,2019-04-28T21:12:38,-145.7958,59.9512,85,8,9.14,11,1175,544,35,0,0,0,2193,228,0,0,123,1754,2421,1
TGX201904,MID4,B,2019-04-28T23:23:39,-145.9467,59.7997,89,10,10.17,7,2105,2368,263,0,132,0,16316,658,132,263,789,4868,17368,1
TGX201904,MS2,B,2019-04-30T01:50:11,-147.8965,59.9443,191,19,9.82,11,1263,1684,211,0,0,0,7158,263,0,53,211,3158,7474,1
TGX201904,MS2,B,2019-04-30T01:50:11,-147.8965,59.9443,191,19,9.82,11,9053,2526,1053,211,0,421,13053,7579,1053,211,421,13263,21895,1
TGX201904,PWSA,B,2019-04-30T14:47:53,-147.3928,60.8255,462,21,9.73,12,7316,895,0,0,105,105,7211,2474,316,211,158,8421,10211,1
TGX201904,PWS2,B,2019-04-30T20:06:29,-147.7983,60.5347,734,24,10.72,14,9684,2105,421,0,0,632,23789,5263,211,211,632,12842,29474,1
TGX201904,GAK1,B,2019-05-01T16:08:57,-149.485,59.8462,270,30,10.32,8,32211,2526,421,0,0,632,13895,4421,1053,0,3789,35789,19368,1
TGX201904,GAK1,B,2019-05-01T16:08:57,-149.485,59.8462,270,30,10.32,8,34105,3368,211,0,0,0,17474,6526,211,0,5263,37684,24211,1
TGX201904,GAK3,B,2019-05-01T22:06:08,-149.1873,59.552,215,36,10.38,13,6421,632,421,105,0,0,11263,3789,316,0,947,7579,15368,1
TGX201904,GAK5,B,2019-05-02T16:32:23,-148.9298,59.2432,167,40,9.55,12,4105,1368,368,0,0,0,5579,947,0,0,53,5842,6526,1
TGX201904,GAK7,B,2019-05-02T22:05:43,-148.6348,58.9733,240,45,10.23,13,10632,1263,1158,0,105,0,14000,4632,0,0,316,13158,18632,1
TGX201904,GAK9,B,2019-05-04T16:44:03,-148.3492,58.6778,277,49,9.12,13,8632,2316,526,0,211,0,12000,3789,211,0,842,11684,16000,1
TGX201904,GAK11,B,2019-05-04T22:24:07,-148.0735,58.3878,2134,53,9.68,14,7316,1105,1158,0,0,0,9263,1895,0,0,1526,9579,11158,1
TGX201904,GAK13,B,2019-05-05T02:41:06,-147.7837,58.0967,2058,55,10.13,14,10035,1333,772,70,0,0,9053,4140,211,0,1193,12211,13404,1
TGX201904,KOD12,B,2019-05-06T16:31:24,-149.2922,56.9678,5000,59,2.97,15,684,526,421,316,0,26,1895,1789,211,79,0,1974,3974,1
TGX201904,KOD12,B,2019-05-06T16:30:37,-149.2922,56.9678,5000,59,10.5,14,4316,632,526,0,0,0,16211,4526,1158,632,211,5474,22526,1
TGX201904,KOD12,B,2019-05-06T16:28:40,-149.2922,56.9678,5000,59,30.16,12,2526,463,63,42,0,21,2589,1158,274,42,0,3116,4063,1
TGX201904,KOD12,B,2019-05-06T16:25:24,-149.2922,56.9678,5000,59,76.14,9,968,1095,1474,126,0,0,2526,1263,379,84,42,3663,4253,1
TGX201904,KOD11,B,2019-05-06T18:41:08,-149.5078,57.0875,2750,60,2.36,15,5333,1544,1123,0,0,0,19088,3649,561,561,702,8000,23860,1
TGX201904,KOD11,B,2019-05-06T18:40:10,-149.5078,57.0875,2750,60,9.17,14,5684,2105,421,105,0,0,11579,4737,1368,211,316,8316,17895,1
TGX201904,KOD11,B,2019-05-06T18:38:30,-149.5078,57.0875,2750,60,30.02,12,7684,2105,526,0,0,0,14632,3789,632,526,526,10316,19579,1
TGX201904,KOD11,B,2019-05-06T18:35:19,-149.5078,57.0875,2750,60,76.07,9,5137,505,42,0,0,0,5811,2063,758,84,0,5684,8716,1
TGX201904,KOD10,B,2019-05-06T20:17:27,-149.7155,57.2038,2503,61,1.85,14,2877,421,70,0,0,175,4912,1474,105,0,70,3544,6491,1
TGX201904,KOD7,B,2019-05-07T03:18:24,-150.3383,57.5572,181,65,9.95,13,1937,2695,842,42,379,42,2105,1979,42,42,42,5937,4168,1
TGX201904,KOD1,B,2019-05-08T14:17:44,-151.5818,58.2447,70,67,9.24,9,12105,2316,105,0,0,0,11053,2632,0,0,1579,14526,13684,1
TGX201904,KOD3,B,2019-05-08T17:08:53,-151.179,58.014,75,69,9.77,12,2526,632,105,0,0,105,13789,3368,1158,526,211,3368,18842,1
TGX201904,KOD5,B,2019-05-08T20:56:25,-150.7623,57.7837,85,72,9.16,10,5979,1895,800,84,84,168,6063,4716,337,42,505,9011,11158,1
