Taxa,Category,Trophic_type,Explanatory_note
Ciliate_misc_no_chl,Ciliate,Heterotroph,Oligotrich_ciliate_that_ could_not_ be_ identified 
Ciliate_misc_ret_chl,Ciliate,CR_Mixotroph,Oligotrich_ciliate_that_ could_not_ be_ identified 
Coxliella_spp,Ciliate,Heterotroph,
Didinium_spp,Ciliate,Heterotroph,
Eutintinnus_spp,Ciliate,Heterotroph,
Laboea_strobila,Ciliate,CR_Mixotroph,
Leegaardiella_ovalis,Ciliate,Heterotroph,
Leegaardiella_sol,Ciliate,Heterotroph,
Lohmaniella_oviformis,Ciliate,Heterotroph,
Mesodinium_pulex,Ciliate,Heterotroph,
Mesodinium_spp_ret_chl,Ciliate,CR_Mixotroph,
Paratontonia_spp,Ciliate,CR_Mixotroph,
Pseudotontonia_spp,Ciliate,CR_Mixotroph,
Scuticociliate_type,Ciliate,Heterotroph,
Salpingella_spp,Ciliate,Heterotroph,
Strobilidium_spp,Ciliate,Heterotroph,
Strombidium_spp,Ciliate,CR_Mixotroph,
Strombidium_acutum,Ciliate,CR_Mixotroph,
Strombidium_capitatum,Ciliate,CR_Mixotroph,
Strombidium_chlorophilum,Ciliate,CR_Mixotroph,
Strombidium_conicum,Ciliate,CR_Mixotroph,
Strombidium_dalum,Ciliate,CR_Mixotroph,
Strombidium_emergens,Ciliate,CR_Mixotroph,
Strombidium_epidemum,Ciliate,CR_Mixotroph,
Strombidium_lynni,Ciliate,CR_Mixotroph,
Strombidium_wulffi,Ciliate,CR_Mixotroph,
Tiarina_fusus,Ciliate,Heterotroph,
Tintinnid_misc,Ciliate,Heterotroph,
Tontonia_spp,Ciliate,CR_Mixotroph,
Alexandrium_spp,Dinoflagellate,Autotroph,
Amphidinium_spp,Dinoflagellate,Heterotroph,
Amylax_spp,Dinoflagellate,Heterotroph,
Ceratium_furca_type,Dinoflagellate,Autotroph,Thecate_dinoflagellate_with_C_furca_shape_but_could_be_other_similar_species
Ceratium_fusus,Dinoflagellate,Autotroph,
Ceratium_tripos_type,Dinoflagellate,Autotroph,Thecate_dinoflagellate_with_C_tripos_shape_but_could_be_other_similar_species
Cladopyxis_spp,Dinoflagellate,Autotroph,
Dino_C_type,Dinoflagellate,CR_Mixotroph,Unidentified_thecate_dinoflagellate_retaining_Mesodinium_chloroplasts_like_Dinophysis
Dino_cyst,Dinoflagellate,Autotroph,
Dinophysis_spp,Dinoflagellate,CR_Mixotroph,
Erythropsidinium_spp,Dinoflagellate,Autotroph,
Gymnodinium_type_heterotroph,Dinoflagellate,Heterotroph,Dinoflagellate_unarmoured_generally_round_with_sulcus_in single_plane
Gymnodinium_type_autotroph,Dinoflagellate,Autotroph,Dinoflagellate_unarmoured_generally_round_with_sulcus_in single_plane
Gyrodinium_spirale,Dinoflagellate,Heterotroph,
Gyrodinium_type,Dinoflagellate,Heterotroph,Dinoflagellate_unarmoured_generally_elongated_with_sulcus_offset
Noctiluca_scintillans,Dinoflagellate,Heterotroph,
Polykrikos_spp,Dinoflagellate,Heterotroph,
Protoperidinium_type,Dinoflagellate,Heterotroph,Thecate_dinoflagellate_with_apical_and antapical_horns
Thecate_Dino_autotroph,Dinoflagellate,Autotroph,
Thecate_Dino_heterotroph,Dinoflagellate,Heterotroph,
Torodinium_spp,Dinoflagellate,Autotroph,
Silicoflagellate_type,Silicoflagellate,Autotroph,Non-diatom_autotroph_with_silica_skeleton_not_further_identified
