Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
TGX201809,GAK1,B,2018-09-12T19:38:20,-149.4822,59.846,268,3,41.05,9,44.16,36.88,-7.28,1
TGX201809,GAK1,B,2018-09-12T19:40:24,-149.4822,59.846,268,3,19.98,11,124.57,285.04,160.48,1
TGX201809,GAK1,B,2018-09-12T19:41:34,-149.4822,59.846,268,3,10.24,12,125.36,142.44,17.08,1
TGX201809,GAK1,B,2018-09-12T19:43:12,-149.4822,59.846,268,3,2.72,15,100.44,115.38,14.94,1
TGX201809,GAK5,B,2018-09-13T17:33:05,-148.9175,59.2448,168,12,40.12,7,46.47,53.19,6.73,1
TGX201809,GAK5,B,2018-09-13T17:35:23,-148.9175,59.2448,168,12,19.66,10,199.47,180.48,-18.99,1
TGX201809,GAK5,B,2018-09-13T17:36:19,-148.9175,59.2448,168,12,10.07,12,147.57,149,1.43,1
TGX201809,GAK5,B,2018-09-13T17:37:31,-148.9175,59.2448,168,12,2.43,13,158.69,163.76,5.07,1
TGX201809,GAK9,B,2018-09-14T18:33:46,-148.3483,58.6762,280,21,39.68,9,33.76,37.13,3.37,1
TGX201809,GAK9,B,2018-09-14T18:35:41,-148.3483,58.6762,280,21,20.34,11,115.87,122.22,6.35,1
TGX201809,GAK9,B,2018-09-14T18:36:48,-148.3483,58.6762,280,21,9.92,13,141.13,165.69,24.55,1
TGX201809,GAK9,B,2018-09-14T18:38:09,-148.3483,58.6762,280,21,2.94,15,130.67,136.7,6.03,1
TGX201809,GAK15,B,2018-09-15T18:31:05,-147.496,57.7927,4555,28,40.79,9,136.59,148.11,11.52,1
TGX201809,GAK15,B,2018-09-15T18:32:49,-147.496,57.7927,4555,28,19.77,12,144.83,155.56,10.73,1
TGX201809,GAK15,B,2018-09-15T18:33:51,-147.496,57.7927,4555,28,9.37,13,149.43,148.4,-1.02,1
TGX201809,GAK15,B,2018-09-15T18:35:06,-147.496,57.7927,4555,28,2.69,15,143.19,156.9,13.71,1
TGX201809,KOD10,B,2018-09-16T18:02:31,-149.7657,57.2105,2500,31,39.95,9,69.97,75.94,5.98,1
TGX201809,KOD10,B,2018-09-16T18:04:15,-149.7657,57.2105,2500,31,19.67,12,131.39,128.58,-2.81,1
TGX201809,KOD10,B,2018-09-16T18:05:11,-149.7657,57.2105,2500,31,10.08,13,112.74,143.68,30.94,1
TGX201809,KOD10,B,2018-09-16T18:06:18,-149.7657,57.2105,2500,31,2.82,15,123.33,132.14,8.8,1
TGX201809,KOD5,B,2018-09-17T18:50:51,-150.7575,57.7862,86,36,20.75,4,98.2,87.64,-10.56,1
TGX201809,KOD5,B,2018-09-17T18:52:21,-150.7575,57.7862,86,36,15.85,6,141.97,145.42,3.45,1
TGX201809,KOD5,B,2018-09-17T18:53:07,-150.7575,57.7862,86,36,9.96,7,201.35,208.3,6.96,1
TGX201809,KOD5,B,2018-09-17T18:54:45,-150.7575,57.7862,86,36,4.42,9,168.62,160.47,-8.15,1
TGX201809,MID2,B,2018-09-19T18:20:55,-145.6487,60.1028,118,45,40.7,5,47.03,45.97,-1.06,1
TGX201809,MID2,B,2018-09-19T18:22:57,-145.6487,60.1028,118,45,20.25,7,110.73,99.57,-11.16,1
TGX201809,MID2,B,2018-09-19T18:23:41,-145.6487,60.1028,118,45,9.86,10,95.31,113.48,18.17,1
TGX201809,MID2,B,2018-09-19T18:25:20,-145.6487,60.1028,118,45,2.2,12,145.02,146.79,1.77,1
TGX201809,MID5,B,2018-09-20T17:25:25,-146.1077,59.6488,93,57,40.72,4,32.32,61.89,29.56,1
TGX201809,MID5,B,2018-09-20T17:27:23,-146.1077,59.6488,93,57,19.95,7,90.45,113.18,22.73,1
TGX201809,MID5,B,2018-09-20T17:28:23,-146.1077,59.6488,93,57,9.97,8,117.05,94.96,-22.09,1
TGX201809,MID5,B,2018-09-20T17:29:47,-146.1077,59.6488,93,57,2.29,10,141.15,151.74,10.59,1
TGX201809,CS4,B,2018-09-21T19:53:49,-143.9028,59.4408,2010,65,40.74,9,86.27,99.22,12.95,1
TGX201809,CS4,B,2018-09-21T19:55:51,-143.9028,59.4408,2010,65,20.46,11,91.77,90.75,-1.03,1
TGX201809,CS4,B,2018-09-21T19:56:47,-143.9028,59.4408,2010,65,9.96,12,84.26,91.98,7.72,1
TGX201809,CS4,B,2018-09-21T19:57:52,-143.9028,59.4408,2010,65,2.4,14,72.14,81.64,9.5,1
TGX201809,CS2,B,2018-09-22T15:26:12,-143.8895,59.7725,119,75,39.98,5,25.8,32.24,6.44,1
TGX201809,CS2,B,2018-09-22T15:28:21,-143.8895,59.7725,119,75,20.35,7,94.92,108.05,13.13,1
TGX201809,CS2,B,2018-09-22T15:29:30,-143.8895,59.7725,119,75,10.16,9,88.83,91.94,3.11,1
TGX201809,CS2,B,2018-09-22T15:30:42,-143.8895,59.7725,119,75,3,11,76.47,87.02,10.55,1
TGX201809,PWS2,B,2018-09-23T19:16:14,-147.8032,60.5353,737,79,40,8,28.63,34.69,6.06,1
TGX201809,PWS2,B,2018-09-23T19:18:38,-147.8032,60.5353,737,79,20.31,10,89.29,95.34,6.04,1
TGX201809,PWS2,B,2018-09-23T19:19:54,-147.8032,60.5353,737,79,10.25,12,122.17,128.12,5.95,1
TGX201809,PWS2,B,2018-09-23T19:20:54,-147.8032,60.5353,737,79,2.12,14,74.31,82.95,8.64,1
