cruise,deployment.id,station,depth,deployment_datetime,recovery_datetime,chlorophyll_flux,phaeopigment_flux
SKQ202106S,ST1,KOD5,40,4/23/2021 6:35,4/24/2021 5:00,427,865
SKQ202106S,ST1,KOD5,60,4/23/2021 6:35,4/24/2021 5:00,396,787
SKQ202106S,ST2,KOD10,40,4/24/2021 17:40,4/25/2021 12:10,4399,15012
SKQ202106S,ST2,KOD10,105,4/24/2021 17:40,4/25/2021 12:10,1396,6793
SKQ202106S,ST2,KOD10,180,4/24/2021 17:40,4/25/2021 12:10,724,5085
SKQ202106S,ST3,MID10,40,4/26/2021 0:40,4/26/2021 23:10,938,2686
SKQ202106S,ST3,MID10,105,4/26/2021 0:40,4/26/2021 23:10,655,1965
SKQ202106S,ST4,GAK4,40,4/30/2021 16:35,5/1/2021 14:25,4221,17262
SKQ202106S,ST4,GAK4,105,4/30/2021 16:35,5/1/2021 14:25,4828,15012
SKQ202106S,ST5,GAK8,40,5/1/2021 22:48,5/2/2021 15:40,2044,8771
SKQ202106S,ST5,GAK8,105,5/1/2021 22:48,5/2/2021 15:40,1465,4338
SKQ202106S,ST5,GAK8,180,5/1/2021 22:48,5/2/2021 15:40,2516,2618
SKQ202106S,ST6,GAK10,40,5/4/2021 2:00,5/5/2021 10:00,1155,6783
SKQ202106S,ST6,GAK10,105,5/4/2021 2:00,5/5/2021 10:00,397,3745
SKQ202106S,ST6,GAK10,180,5/4/2021 2:00,5/5/2021 10:00,287,2065
SKQ202110S,ST1,GAK15,30,6/30/2021 5:05,7/1/2021 1:39,126,388
SKQ202110S,ST1,GAK15,70,6/30/2021 5:05,7/1/2021 1:39,72,336
SKQ202110S,ST1,GAK15,110,6/30/2021 5:05,7/1/2021 1:39,36,245
SKQ202110S,ST1,GAK15,180,6/30/2021 5:05,7/1/2021 1:39,46,153
SKQ202110S,ST2,GAK9,30,7/1/2021 21:00,7/2/2021 15:00,336,2399
SKQ202110S,ST2,GAK9,70,7/1/2021 21:00,7/2/2021 15:00,139,1240
SKQ202110S,ST2,GAK9,110,7/1/2021 21:00,7/2/2021 15:00,61,772
SKQ202110S,ST2,GAK9,180,7/1/2021 21:00,7/2/2021 15:00,120,611
SKQ202110S,ST3,GAK5,30,7/3/2021 4:08,7/4/2021 12:30,258,1510
SKQ202110S,ST3,GAK5,70,7/3/2021 4:08,7/4/2021 12:30,81,1181
SKQ202110S,ST4,KOD5,20,7/6/2021 3:30,7/6/2021 23:05,1238,6147
SKQ202110S,ST4,KOD5,60,7/6/2021 3:30,7/6/2021 23:05,606,4529
SKQ202110S,ST5,MID5,50,7/8/2021 17:05,7/10/2021 1:25,198,1253
TGX202109,ST1,MID10,50,9/14/2021 3:13,9/14/2021 23:00,35,146
TGX202109,ST2,PWS2,50,9/16/2021 3:23,9/16/2021 20:30,72,444
TGX202109,ST3,GAK9,50,9/17/2021 12:38,9/18/2021 3:00,102,686
SKQ202207S,ST1,PWS2,40,4/22/2022 5:31,4/22/2022 21:45,1661,6506
SKQ202207S,ST1,PWS2,120,4/22/2022 5:31,4/22/2022 21:45,868,4839
SKQ202207S,ST2,MID7I,40,4/23/2022 21:19,4/25/2022 1:54,1358,6503
SKQ202207S,ST3,MID9,40,4/25/2022 3:15,4/26/2022 11:20,126,545
SKQ202207S,ST3,MID9,120,4/25/2022 3:15,4/26/2022 11:20,79,570
SKQ202207S,ST4,KOD10,40,44677.96042,4/27/2022 22:30,170,477
SKQ202207S,ST4,KOD10,120,44677.96042,4/27/2022 22:30,88,456
SKQ202207S,ST5,GAK12,40,5/5/2022 15:30,5/6/2022 20:00,1058,4372
SKQ202207S,ST5,GAK12,120,5/5/2022 15:30,5/6/2022 20:00,724,3882
SKQ202210S,ST1,MID10,40,7/9/2022 15:15,7/10/2022 15:00,13,148
SKQ202210S,ST1,MID10,120,7/9/2022 15:15,7/10/2022 15:00,74,232
SKQ202210S,ST2,MID5,40,7/11/2022 13:45,7/12/2022 6:45,133,1556
TGX202209,ST1,GAK5,40,9/10/2022 12:30,9/11/2022 22:27,19,295
TGX202209,ST2,GAK9,40,9/11/2022 12:56,9/13/2022 0:37,45,347
SKQ202307S,ST1,PWS2,40,4/25/2023 16:53,4/26/2023 17:09,1900,14174
SKQ202307S,ST1,PWS2,100,4/25/2023 16:53,4/26/2023 17:09,1280,10742
SKQ202307S,ST1,PWS2,150,4/25/2023 16:53,4/26/2023 17:09,1170,7924
SKQ202307S,ST2,KOD10,40,4/28/2023 19:40,4/29/2023 17:40,86,336
SKQ202307S,ST2,KOD10,100,4/28/2023 19:40,4/29/2023 17:40,8,178
SKQ202307S,ST2,KOD10,150,4/28/2023 19:40,4/29/2023 17:40,10,105
SKQ202307S,ST3,KOD5,40,4/30/2023 4:59,5/1/2023 2:43,1481,1110
SKQ202307S,ST4,GAK5,40,5/2/2023 12:15,5/3/2023 16:01,1894,13707
SKQ202307S,ST4,GAK5,100,5/2/2023 12:15,5/3/2023 16:01,548,6406
KM202308,ST1,GAK5,40,45108.06736,7/1/2023 22:10,74,525
KM202308,ST1,GAK5,110,45108.06736,7/1/2023 22:10,43,531
KM202308,ST2,GAK9,40,7/3/2023 7:18,7/4/2023 7:55,62,443
KM202308,ST2,GAK9,110,7/3/2023 7:18,7/4/2023 7:55,23,261
KM202308,ST2,GAK9,180,7/3/2023 7:18,7/4/2023 7:55,9,337
KM202308,ST3,GAK15,180,7/5/2023 14:38,7/6/2023 14:30,27,473
KM202308,ST3,GAK15,40,7/5/2023 14:38,7/6/2023 14:30,209,461
KM202308,ST3,GAK15,110,7/5/2023 14:38,7/6/2023 14:30,50,448
KM202308,ST4,MID10,40,7/8/2023 21:10,7/9/2023 22:52,222,703
KM202308,ST4,MID10,110,7/8/2023 21:10,7/9/2023 22:52,43,318
KM202308,ST4,MID10,180,7/8/2023 21:10,7/9/2023 22:52,61,336
KM202308,ST5,MID5,40,7/10/2023 12:40,7/11/2023 18:52,210,1533
KM202308,ST6,PWS2,40,7/12/2023 3:08,7/13/2023 2:06,35,723
